run_id,event,model,started_at,ended_at,elapsed_seconds,epoch,epochs_ran,epoch_seconds,train_loss,train_acc,val_loss,val_acc,best_val_loss,best_val_acc,checkpoint,device,batch_size,lr,weight_decay,image_size,num_workers,torch_threads,torch_interop_threads,pretrained,early_stopped
20260608_153518,start,resnet18,2026-06-08T15:35:18+05:30,,,,,,,,,,,,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,1,1,2519.818,0.622885,0.783273,0.879951,0.703611,0.879951,0.703611,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,2,2,2329.108,0.370468,0.870586,0.696826,0.786250,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,3,3,2300.689,0.277022,0.902124,0.825496,0.768750,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,4,4,2382.697,0.234111,0.917415,0.890219,0.783611,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,5,5,2423.442,0.190634,0.932466,0.867541,0.776528,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,6,6,2395.782,0.171954,0.938899,0.753081,0.787917,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,7,7,2425.581,0.142271,0.947636,0.852703,0.772639,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,8,8,2421.397,0.141685,0.949312,0.803583,0.808194,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,9,9,2393.371,0.121733,0.955266,0.799186,0.804444,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,10,10,2348.198,0.110971,0.959156,1.088436,0.757222,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,11,11,2338.509,0.108287,0.958977,0.958951,0.795000,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,False
20260608_153518,epoch,resnet18,2026-06-08T15:35:18+05:30,,,12,12,2182.193,0.108519,0.960263,0.792337,0.813333,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,True
20260608_153518,summary,resnet18,2026-06-08T15:35:18+05:30,2026-06-08T23:29:40+05:30,28462.288,,12,,,,,,0.696826,0.786250,checkpoints\best_model.pt,cpu,32,0.001,0.0001,224,10,6,6,True,True
