run_id,event,epoch,epochs_ran,train_loss,train_acc,val_loss,val_acc,best_val_loss,best_val_acc,epoch_seconds,elapsed_seconds,started_at,ended_at,checkpoint
20260611_203322,epoch,1,1,1.185573,0.588551,2.076535,0.454545,2.076535,0.454545,104.474,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,2,2,0.602624,0.794275,1.011506,0.752066,1.011506,0.752066,35.745,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,3,3,0.409753,0.849732,1.554835,0.537190,1.011506,0.752066,39.494,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,4,4,0.240396,0.921288,0.775270,0.702479,0.775270,0.702479,39.844,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,5,5,0.215736,0.921288,2.245304,0.586777,0.775270,0.702479,41.686,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,6,6,0.282718,0.912343,1.880655,0.586777,0.775270,0.702479,40.139,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,7,7,0.188395,0.932021,0.914892,0.710744,0.775270,0.702479,40.419,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,8,8,0.147377,0.944544,1.325555,0.661157,0.775270,0.702479,40.288,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,9,9,0.179331,0.948122,1.822121,0.644628,0.775270,0.702479,41.073,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,10,10,0.174494,0.940966,1.248490,0.694215,0.775270,0.702479,40.544,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,11,11,0.200407,0.939177,0.555681,0.834711,0.555681,0.834711,40.590,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,12,12,0.123300,0.964222,1.055716,0.727273,0.555681,0.834711,41.356,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,13,13,0.072878,0.978533,0.900131,0.743802,0.555681,0.834711,44.669,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,14,14,0.061227,0.982111,0.570493,0.859504,0.555681,0.834711,44.384,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,15,15,0.046163,0.983900,0.652717,0.801653,0.555681,0.834711,41.013,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,16,16,0.050156,0.987478,0.482276,0.859504,0.482276,0.859504,39.710,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,17,17,0.069663,0.971377,0.637751,0.776860,0.482276,0.859504,39.703,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,18,18,0.051310,0.978533,0.594272,0.834711,0.482276,0.859504,39.364,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,19,19,0.051379,0.982111,1.115632,0.735537,0.482276,0.859504,38.639,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,20,20,0.066954,0.976744,0.562484,0.818182,0.482276,0.859504,35.740,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,21,21,0.064453,0.976744,0.451688,0.876033,0.451688,0.876033,35.032,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,22,22,0.029348,0.991055,0.371584,0.884298,0.371584,0.884298,34.498,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,23,23,0.031996,0.989267,0.549124,0.826446,0.371584,0.884298,35.735,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,24,24,0.037558,0.982111,0.846210,0.793388,0.371584,0.884298,35.870,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,25,25,0.022461,0.991055,0.402676,0.859504,0.371584,0.884298,34.799,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,26,26,0.017435,0.996422,0.575334,0.842975,0.371584,0.884298,34.804,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,27,27,0.017685,0.994633,0.621945,0.851240,0.371584,0.884298,35.289,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,28,28,0.010546,0.998211,0.302105,0.900826,0.302105,0.900826,36.894,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,29,29,0.011226,0.998211,0.323813,0.892562,0.302105,0.900826,34.975,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,30,30,0.020436,0.998211,1.240117,0.694215,0.302105,0.900826,35.331,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,31,31,0.021635,0.994633,0.631737,0.842975,0.302105,0.900826,35.379,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,32,32,0.007009,1.000000,0.557886,0.859504,0.302105,0.900826,35.239,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,33,33,0.011161,0.998211,0.481265,0.859504,0.302105,0.900826,34.755,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,34,34,0.010102,0.998211,0.647844,0.859504,0.302105,0.900826,34.328,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,35,35,0.030400,0.994633,0.679724,0.826446,0.302105,0.900826,34.117,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,36,36,0.058615,0.974955,1.475566,0.710744,0.302105,0.900826,34.683,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,37,37,0.158509,0.946333,2.577561,0.553719,0.302105,0.900826,35.264,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,epoch,38,38,0.376134,0.880143,1.052579,0.760331,0.302105,0.900826,35.076,,2026-06-11T20:33:22+05:30,,checkpoints_1spec_per_1song\best_model.pt
20260611_203322,summary,,38,,,,,0.302105,0.900826,,1503.577,2026-06-11T20:33:22+05:30,2026-06-11T20:58:25+05:30,checkpoints_1spec_per_1song\best_model.pt
